Id,Description,(Optional) Upload image of first activity here - Name,Frequency,Pattern Code,Tasks,Notes
P44,"Homelab, personal study, open source projects - involves coding, chat, video conferences - mostly vSphere suite of products, VSCode & PowerShell, Zoom, Slack  - self & team involved

Desktop and large monitors used in home office on standing desk, 2 laptops used in kitchen or living room as portable devices",,Multiple times a day,Integrate,Work and Communciation ,
P44,"Work - involves coding, chat, video conferences - mostly VSCode & PowerShell, Microsoft office & Teams - self & team involved

Desktop and large monitors used in home office on standing desk, 2 laptops used in kitchen or living room as portable devices",,Multiple times a day,Integrate,Work and Communication,
P83,"Working - Training
Using my surface and external screen
MS Office, Teams. Outlook, PowerPoint, 
Remote Work Colleges and/or clients

Surface in on the desk to the left of my personal computer.  An external monitor connected to the Surface is placed on a box so that the screen is above the surface. A headset is connected to a USB hub connected to the surface.

Often I tether my phone to using wifi so I can use the faster cellular network.  I live in a rural area and the DSL is slow like below 4mb/s download.  4G LTE is much faster.  The phone is on the desk to the right on a wireless charger. ",20200729_104906.jpg,Multiple times a day,Integrate,Work and Communication,Integrate internet speed 
P83,"Watching Webinars
Usually just a browser or an application
Edge, Teams, Zoom, GoToMeeting 
Just me

The desktop is to the right of the desk on the floor
The keyboard mouse and monitor are on my desk right of my work setup.

Often I tether my phone to using wifi so I can use the faster cellular network.  I live in a rural area and the DSL is slow like below 4mb/s download.  4G LTE is much faster.  The phone is on the desk to the right on a wireless charger. ",20200729_104906.jpg,Multiple times a day,Integrate,Work and Communication,Integrate internet speed 
P52,"It’s not an activity per se but a lot of devices are just lying around, so that I don’t need to carry them from one space to another - our spaces are rural so separated and dragging a laptop around is annoying so... sometimes you just grab the closest one, and the basic experiences and needed data can be accessed via the NAS or google drive or github etc",,Multiple times a day,Integrate,Work and File Storage,File storage 
P65,"Work involving Surface Pro 6 and Apple iPhone 11X. Surface is docked as 2nd screen and for video/audio while Dell UltraSharp 24” is primary screen. Phone is used as 3rd monitor, backup for Teams calls of Surface has issues   ",,Multiple times a day,Integrate,Work and Meeting,backup phone for call
P24,"Describe activity:
- Working on my Chromebook, while writing notes on my ThinkPad.
- Work
- Chromebook: ChromeOS; ThinkPad: Windows 10, OneNote
- Me


Configuration:
- My Chromebook is propped on my worktable, while my ThinkPad is in tablet mode while I jot down notes on OneNote using its stylus.
- Chromebook on the table, ThinkPad on my right hand.
",,Multiple times a day,Integrate,Work and Note Taking,
P96,"Concurrent log in to a personal membership account, when a work record requires updating my professional or personal profile.
Using my personal device to log on and access my personal accounts.
No software is involved.
I am the sole user.
The Surface Pro 6 devices are side by side on my workspace.",,Rarely,Integrate,Work and Personal Profile ,Interesting example when need to reference some information from personal profiles for work
P99,"Mostly work or study. 2 monitors really help and are more convenient to work with.
Software are normally IDE and searching web or official document, or emails and chat tools. The position is at my study/work spaces, monitors in a horizontal line. ",,Monthly,Integrate,"Work and Search
Work and Communication - chat ",
P70,"- Writing a paper
- To get sunshine, I sit outside with the laptop and iPad on a table and bluetooth keyboard in my lap. 
- I'll put the rendered PDF on the iPad using Apple's SideCar and then have the entire screen of my MacBook Pro devoted to the TeX code editor window.",,Weekly,Integrate,Write and View,Redering needs to go into different screen
P41,"surface laptop with dell screen for all office for everything -  I am a sole proprietor and interior designer, so lots of product research, emails, all day long when I am in the office.  config is dell screen on a large riser from the container store for height, with laptop back and to the right ",,Daily,Integrate,,
P25,"Dell PC at home is twin monitor for ease of use.. old and new powerpoints can be opened up together and i can drag and drop items on the fly. two HP 24'' monitors make this rather easy although the dell is a 7 year olf i3 and struggles a bit now, especially with photoshop.

",,Multiple times a day,Integrate ,Create Slides,Can copy paste content over - referencing old documents
P15,#NAME?,,Daily,Integrate ,Development - Client and Server,
P21,"- Game development
- creating 3d, sometimes VR games 
- Unreal Engine and Visual Studio or Unity Engine and VS Code
- Me and other workers remotely in other states

- All intense software running on Windows Desktop with laptops running for watching videos and web browsing without weighing down the desktop
- As in picture, Desktop on desk, laptop on side table",20200713_210605.jpg,Multiple times a day,Integrate ,"Development and Browse
Development and Watch Videos",Distribute based on computing power needed - keep intense software on one device
P42,"Gaming on my desktop using a mouse and keyboard with Steam and a RPG/FPS/strategy/city builder game. I frequently play with a friend and will use an Astro a50 headset, chatting over discord. The third monitor not used for the game or chat will have reference material for the game. The configuration was in the provided screenshot, 3 monitors in a curved fashion around me, using the mouse and keyboard.",20160115_234244.jpg,Daily,Integrate ,"Game Play and Communication
Game Play and Communication ",
P79,Attend or lead Web Conference - usually Webex and Office365 - the IPad is my camera (easier to move around than laptop in dock and higher quality) and having a second screen is useful to multitask and to view files on laptop/large monitor while still seeing participants or the screen sharing of the participant.  And I ALWAYS use the phone for higher voice quality that typical Internet voice.,,Multiple times a day,Integrate ,Meeting ,View participant and screen sharing - classic integrate 
P17,"MS Teams online meetings with customers and colleagues, I  join from the app on my iPhone for audio, follow along on Surface for content sharing. My phone is beside me on my desk and Surface in front of me, TV monitor above desk on a movable wall mount (room doubles as a guest room)",,Multiple times a day,Integrate ,Meeting - audio and content sharing,Classic integrate
P9,"1 - meeting and video calls, Teams meeting window on one screen, notes on the other screen, headset/speakerphone on, involving me and colleagues
",,Multiple times a day,Integrate ,Meeting - video calls and Note Taking,
P11,Web research - just me - Microsoft Edge and OneNote - Same physical setup as document creation,,Multiple times a day,Integrate ,Search and Note Taking,
P5,"Video editing
Involves creation of content for professional use.
Pinnacle Studio, Adobe Photoshop
I use the Medion PC to edit the video and pictures, and the Surface Pro 7 to search for information, and follow the running order",,Monthly,Integrate ,Video editing and search/reference,
P38,I am watching Criterion Channel movies on my Lenovo All in One. I'm sitting on my couch and will use my Pixel to look up movie reviews from Google search.,,Weekly,Integrate ,Watch Movies and Browse Reviews,Classic integrate for non work 
P13,"Check email, browse web, write reports, check analytics, plan projects mostly with online services, video conference in meetings, share documents, chat on Teams.

Configuration is mostly with device in center and monitors around so I can glance side to side. ",,Multiple times a day,Integrate ,"Work (write reports, planning) and Communication",Glance device at the center 
P32,"Lenovo is connected to Large monitor.  VM running on Lenovo on Main Monitor.  Microsoft Teams running on Lenovo Monitor.  Primary work is done on VM.  HP Z Book is primarily used for Outlook.  Mouse/Keyboard connected to Lenovo and both laptops are running Mouse without Boarders to allow single mouse/keyboard for both devises.  Samsung Phone is connected via ""Your Phone"" application.
Remote Desktop Connection Manager is running on Lenovo and runs on the large monitor.  This is use to connect to various build, packaging, and testing servers to troubleshoot issues.
Edge Browser is used to monitor builds.
Outlook is used for e-mail
Teams is used for communication.
Your Phone is used to monitor notifications on phone.",,Multiple times a day,Integrate ,"Work and Communication - Emails, Chats",
P30,"Activity: working activity using Microsoft Office apps and Microsoft Edge Browser to access my work files and activities using Google service platform (Gmail, Google Drive, Google Meet, Google Classroom), and also using my smartphone for signing documents

Configuration:
I connect my laptop to larger screen to make it easier for the eye and the neck to work all day since everything moved online, and put my phone nearby to help me sign documents. I rarely use my laptop since it is connected to external screen",,Daily,Integrate ,Work and Signing,Smartphone for signing documents 
P28,"General work activity usually involves the Surface Pro X and the Samsung Galaxy Note 9.  I am usually using Edge, and/or Office 365 for work.  I use my Galaxy Note for checking text messages.  Text messages have become more integral to my communications and the phone is with me at all times.  ",,Multiple times a day,Integrate ,Work and Work Communication,
P9,"2- writing - research on one screen, word on other screen, me alone
",,Multiple times a day,Integrate ,Write and Research,
P23,"For craftroom setup, the Surface Pro 4 is connected to external monitor (for larger viewing of instructional videos plus entertainment) and it is also connected to USB devices such as a Cricut; Various software tools are used for editing and producing images (via printer) or cut out (via Cricut and other devices) for use in craft development; One person typically involved.",,Multiple times a day,"Integrate, Expand",Watch Video ,Focus on hands on stuff
P34,"Sitting at my desk working. Laptop in front of me as main keyboard, secondary key board to my side. Two phones under an old bank VDU stand holding a Surface Pro in a docking station. In front of me and above my laptop screen two screens attached to an Intel Nuc 9 under my desk. All three machines are controlled using Mouse Without Borders so my hands don't have to leave my keyboard.

To the left of me on a small side desk is a plastic folder holding spare and test machines. Under my desk are two more NUCs, one the house server and one used for virtual machines when writing about server software. Also under the desk is a Synology NAS for media and file storage, shared with my wife.",,Daily,"Integrate, Expand",Work (Development?),Expand input modality 
P75,"Programming: visual studio, chrome
Often look up programming stuff on phone, while walking around, then lay on couch with laptop and hand-type url or re-search for same thing in laptop.
Phone painfully on my belly while trying to type into laptop to transfer my session.",,Multiple times a day,"Integrate, Migrate","Search and Browse (different places)
Development and Search ",Migrate for mobility / different places
P59,"Work. Development using Windows OS and Tools, communications. 
Software development tools - online and desktop products. 

Configuration. 
Windows laptop with VPN, 
Intel NUC as secondary more performant machine for more demanding tasks. 
Secure laptop for on call duties. ",,Daily,"Integrate, Partition",Development and Communication - on call,"Partition mandatory work and oncall duties
Distribute tasks based on performance requirement"
P86,"Another work activity, but when I am working on drawing in Revit, I use my iPad for reference PDFs that I can draw on and use my second monitor of my desktop for another reference pdf. This is a solo activity, so I’m usually listening to podcasts using my iPhone. My iPad in propped up so I can see it without looking down. The setup is similar to the first one where my iPad is on my desk, but off to the side. ",,Multiple times a day,"Integrate, Partition",Draw and Reference,Multiple references on devices
P58,"Describe the activity: 

   - What is the activity?  
Working
   - What does it in involve?
MacBook, ipad, iphone
   - What software is involved in this activity? 
 onenote, vs code, browser, slack, zoom

  - Who is involved? 
I am, coworkers (virtually)
- Describe the configuration:
Laptop beside a monitor, ipad also beside it if I'm using the iPad as another screen otherwise the iPad is on the right of my mouse, phone is on a dock below my screen
   - How are you using the devices?
MacBook for my main work and video calla
Ipad sometimes as a second extended screen, sometimes to write notes, and sometimes to be watching media. Phone is mainly used for messages and sometimes non work related distractions like instagram
   - How are they positioned physically in the space?
Laptop beside a monitor, ipad also beside it if I'm using the iPad as another screen otherwise the iPad is on the right of my mouse, phone is on a dock below my screen",,Daily,"Integrate, Partition","Focus Work and Note Taking
Focus Work and Watch Media
Focus Work and Social Media
Focus Work and Communication - chats",Changing roles of devices
P5,"Gaming
Xbox One device to play, Surface Pro 7 to communicate with other players, look tutorials and play music.
Microsoft Edge, Xbox One, Xbox Game Pass",,Daily,"Integrate, Partition","Game play, communication and search
Game play and play music",
P7,"Photography stuff. Here I am using Nikon photo editing software on my Surface Book. Photos are on the laptop and a portable hard drive. I also store photos on the HP desktop ( I am not currently using OneDrive to share photos across devices, only because I have not taken the time to figure out how to organize everything).
Again I have the phone to monitor emails and news alerts and social media (twitter).
Focus here is on the photo editing software which I am teaching myself to use.",,Weekly,"Integrate, Partition","Photo Editing and Storage
Photo Editing and Communication ",Distribute storage
P95,"When cooking I use a combination of my iPhone (or iPad) and an Amazon Echo.  I use my iPhone for recipes (Safari, Google Keep) and I used Amazon Echo as a cook timer and to stream audio (music, news or podcasts).  ",,Weekly,"Integrate, Partition",Reference and Timing,Interesting one for home task 
P56,Cobrowsibg while watching TV in the living room. Involves using iPad IPhone to control what’s playing plus research. ,,Daily,"Integrate, Partition",Watch videos and browse,
P34,"Sitting in the lounge, with a remote control for the XBox used as a media center. Usually with a phone for looking things up or social media. Running Plex as a media center app, with files stored on the NAS in the office. I may also be playing a game on a Nintendo Switch. My wife will be sat in another chair, probably crafting while watching.",,Daily,"Integrate, Partition","Watch Videos and Search
Watch Videos and Social Media
Watch Videos and Game Play",
P55,"Working from home (full time, permanent)

Dell laptop plugged in to a dock, connecting ethernet, two monitors, speakers, keyboard/mouse, and printer. Laptop is to the left, one monitor is centered, and one to the right. All three on risers to be eye level. 

Generally working in Jira, office, answering emails, teams, conference calls, and web browsing. Work with team members across the company. Typically 50+ hours a week. Often use  either mobile phone or tablet to test or demo mobile software. 

Fire tablet plugged in on the desk as a media control, often casting YouTube or Spotify to TV via chrome cast. ",,Multiple times a day,"Integrate, Partition","Work (reference, communication, browse) and Media Play",
P68,"While working on a large dataset, I have an excel spreadsheet on my large 4k monitor while remote contrlolling assets RDP  on another screen.  I have outlook calendar open on another screen with teams and outlook mail in another (comms).  My screen layout changes with my mood",IMG_20200726_211701.jpg,Daily,"Integrate, Partition","Work and Communication 
Analysis and Remote Control Assets",
P20,"comics
writing, concept art, story board, vector images
requires office mobile apps, affinity art programs, onedrive, edge, snip & sketch, camera, sticky note, one note, groove music.
my self and creative staff

multiple devices set up, such as surface devices, latops and displays. for my self and staff to move images around and share and collaborate quickly. a game is usually available to play in the background to take mental brakes (this set up work for many of my projects) ",,Multiple times a day,"Integrate, Partition","Work and Share - collaboration
Work and Game Play",Interesting about share - quickly drop something
P42,"I develop hobby software projects using VSCode, Python or NodeJS, and GitHub. I may start this work on my desktop where I have multiple monitors to reference source information, tool documentation, the best IDE out there, and use the tv in the living room I can see as my office only has two walls separated by a hallway and a short wall, for controlling media playback. I'll then switch to using the laptop when I want to change location while continuing development, especially when the challenge is now in just implementing.

Physically this is usually a sitting position, either at my desk or on a couch or bed or a friend's place.",,Weekly,"Integrate, Partition, Migrate","Development (reference, documentation)
Development and Watch TV
","Good example for migrate for mobility
Good participant"
P24,"Describe activity:
- Playing a game on my ThinkPad, but I can't alt-tab my way out of it whenever I need to make a quick Bing search.
- Laptop and Phone
- Laptop: Steam and WIndows 10; phone: Edge for iOS
- Me


Configuration
- When gaming, my laptop is on my table in laptop mode.
- ThinkPad Yoga's laptop mode.",,Multiple times a day,"Integrate, Partitition",Game Play and Search,Had to stay full screen when playing games
P26,"Video conferencing - Video meetings are frequently performed using Skype, MS Teams, and Zoom. Video conferences involve friends, coworkers, spouse, and supervisors/bosses. Video conferences can be personal, but most are work related and involve work discussions and planning as well as working together while video calling (coding, writing, analyzing/problem solving). While video conferencing, I am in my bedroom space on my bed with my laptop on my lap and my laptop is connected to a desktop monitor on a small desk that permanently overhangs above my bed. A Google home mini is Bluetooth connected to my laptop for Audio and sits on the base of the desktop monitor. My phone is usually involved for a variety of reasons including quick online searches (now that Cortana has been downgraded), taking notes on onenote using the phones pen input, instant messaging people not involved in the call for reasons related to the call, and more.",,Daily,"Integrate, Partitition","Meeting and Search 
Meeting and Note Taking
Meeting and Communication - chat ",messaging people who are currently not in the call
P26,"Media consumption and personal use - For consuming media such as Spotify, Youtube, Mixer, and Netflix, I am usually alone in either setting 1 (my bedroom setup) or setting 2 (my living room. This activity often involves concurrent use of my laptop for media consumption as well as personal use (social media and instant messaging), alongside my phone for personal use, and my Nintendo Switch for casual gaming. The physical setup involves my laptop on my lap, connected to my desktop monitor, with my phone either beside me or in my hand, and my Switch either beside me or in my hand. Occasionally, gaming on my switch may involve online play via 'animal crossing', which is organized via communications on my phone or laptop.",,Multiple times a day,"Integrate, Partitition","Watch TV and Game Play
Game Play and Communication ",
P52,"Collect media from various cameras, catalog. This means mostly handheld cameras like Canon and Fuji but sometimes audio, or special cameras like garden monitors. Over the years I’ve grown the system to allow uploads and access when I travel around town or internationally. It depends on rocky but also Chrome Remote Desktop",image.jpg,Weekly,Migrate,Collecting photos ,An interesting merge example
P91,"I often use my phone to stay in touch with my team when I'm away from my desktop.
Primarily I will use the phone to consume information (read emails, etc) since I loathe typing long messages on the small device.  I will respond to emails or Teams chats if the response is short, otherwise I will wait until I get back to the desktop.

If I find interesting content on my phone that requires more attention later, I will email myself a link and resume on the desktop.  The ""Continue on My PC"" app would have been great but it never seems to work for me.
",,Multiple times a day,Migrate,Communication on the go,Interesting in the aspect of content transfer 
P36,"Collaborating on a powerpoint for an upcoming presentation.
* Initial powerpoint is best created using a Template or previous powerpoint. This usually works best from Work laptop at physical Desk location with focus on initial project creation, ideation on background, content, getting the powerpoint started.
* Once the draft is done, work can be done anywhere from any device. An hour later I am downstairs in living room and remember I wanted to add a bullet to slide 5 for my talking points. Flip open iPad, open the powerpoint using OneDrive, edit the slide and make a note, close.
* If the scenario is complicated like needing to add a photo or image from the web or prior art, using the iPad or phone somewhere else is impractical. Copy/Paste for slides and complex slide editing really only works reliably on a true windows computer/laptop. I have to wait until I am in work focus mode, go to the desk environment, or bring one of the laptops down (not the ipad), to make critical Edits. 
* I email the link to the powerpoint (or the physical powerpoint file for those who still don't understand the Cloud and collaboration, of which there are far too many still but shrinking) to a small group. This works best from Desktop but can be from laptop roaming work in the house.
* Receiving the email back with notes/comments/questions. If I am on the couch and get the email and it requires complex edits, I have to go back upstairs to the office to edit the powerpoint. If its just email trading comments, I can reply from the couch and finish that round of interaction. 
* I still travel around some, not as much at the moment by far, but I might only have my phone at the dentist office or car repair, and get notes about this project. I can use Office products on android and read the emails, even open the powerpoint and see what the discussion is. I rarely if ever trust editing the powerpoint on my phone. Its just too small to verify overall visuals and that I didn't make a mistake. But the project can keep moving forward, I might just need to make a To Do reminder to make a change suggested in the email.

Who: myself and usually 3-4 work colleagues
Software: Outlook (for iOS, Android, Windows 10 Desktop; do not really like Outlook for the Web its just another confusing choice - wish Desktop/Web could merge). Office - Powerpoint in this case but similar for Word/Excel. Sharepoint - the App on iPad makes finding docs and browsing others easier. OneDrive - Used to see all documents and libraries and locate. Teams - used along with Outlook, people comingle comments in both. OneNote - I put most of the work plan, outline, and to do organization in a OneNote that goes alongside the PowerPoint (talk track outline).
Physical setup - either my personal laptop or work laptop will be live on the monitor at my desk, I normally use the Work laptop to get things started per policy but may be playing a game or something and switch to work mode in my head and just use my personal laptop to pick up where I left off. I carry the ipad everywhere in my house - couch, porch, other rooms and pick up email and collaboration from there.",,Multiple times a day,Migrate,Create Slides - different phases and Communciation - Collaboration,"Good participant?
Detailed migrate case"
P29,"CRM Development
Usage, Modifications, and enhancements to Dynamics 365
Dynamics 365, XRM Studio, Power BI, Splashtop
Myself

I sync data using OneDrive and access files between devices to update and work on them.  Depending on what I'm doing, I may remotely connect to other machines to deploy changes or run certain software (XRM Studio).

This would be typical office usage on desktops, sitting at desk and working.  For Surface devices, the use can be pretty much anywhere, at airport, on couch, remote office, etc.  But Surface devices are either on a desk in front of me, on my lap, on a pillow, or on an armrest (the stand is somewhat painful on legs after a time).",,Daily,Migrate,CRM Development ,Talking about using different devices for a same activity
P92,#NAME?,,Daily,Migrate,Development ,Mobiility - change of scenery 
P72,"Work

IT and software development for a multi-national IT hardware distributor/reseller/system builder

My main driver is my Surface Book 2, connected to 2 4K monitors via a Surface Dock; Surface Keyboard; Surface Mouse; Logitech webcam.

Communication during the day is done over Teams either using a headset connected to the Surface Book, a Lenovo ThinkSmart View if I'm busy pushing the performance of the Surface Book; or via the iOS app on my iPhone if I'm away from my desk at the time the call comes in.

At times I can also have my Macbook setup beside me that I use to test and build a couple of iOS apps.

Everything bar the Macbook is on a standing desk that is always in the standing position (never got around to buying a desk chair in 3 years). Monitors are mounted on arms leaving more desk space for devices, USB fan, and Amazon Echo (for background music)",WIN_20200727_21_09_47_Pro.jpg,Multiple times a day,Migrate,Meeting,Answer the call with different devices based on differnet locations 
P89,"Teams video calls - I'll sometimes call in using my iPhone if I'm upstairs or need to grab food in the kitchen, then transfer the call to my laptop once I'm back at the table",,Weekly,Migrate,Meeting,"Classic example of migrate for mobility - take care of other things
Good participant "
P29,"Zoom and team calls.
Video Calls with my Team, colleagues, and friends/family.
Zoom or Microsoft Teams
Team, colleagues, or friends/family

Either sitting at my work or home desk with a camera on top of monitors, or sitting on couch with Surface on my lap (or on a pillow on my lap) with headphones.",,Multiple times a day,Migrate,Meeting ,
P45,"Listening to music
Intel NUC and iPhone
Spotify and Amazon Music
Myself

Playing music on Intel Nuc, audio devices Arturia AudioFuse and KRK Studio monitors, iPhone with headphones is used when I walk away from home to continue listening to the music. In the car automatically switch to the audio system there",,Multiple times a day,Migrate,Music Play,Automatic transition
P17,Listening to audio books or podcasts. I purchase audio books on desktop browser that are then synced to iPhone or iPad OR use Sonos to stream directly from Audible or Pocket Casts.,,Daily,Migrate,Purchase and Listen to Podcast,
P89,"Reading scholarly papers and marking them up - using my work laptop and my iPad. I use Adobe Acrobat or Mendeley to mark up papers on my laptop, but I sometimes read the paper and mark it up on my iPad using GoodReader, then export it and save it to my work OneDrive or into my Mendeley account",,Weekly,Migrate,Read and Note Taking and Save,Good example about save/consolidate in migrate
P47,"- Reading news
- phone, desktop, tablet
- browsers and news apps
- myself
Config:
- phone or tablet I use in hand, or I have stands that I place them in
",news.jpg,Multiple times a day,Migrate,Reading,
P61,Read books and websites on my iPad or iPhone. Anywhere in the house. Google Chrome for iOS and the Kindle app. ,,Daily,Migrate,Reading,
P88,"I read eBooks on my kindle and iPhone Kindle app due to convenience. I will stop reading the book on my kindle, which usually resides in my home, and pick up reading on my iPhone when I'm out and about. ",,Weekly,Migrate,Reading,Same app experience 
P42,"The second activity is reading content from the internet. I may start a tab on the iPad in chrome, switch to my laptop for typing responses or having better control in my interactions with it. If I find I want to do more research I may use my desktop to take advantage of the three+ tv monitors. This may lead to reading a book or pdf which I may do on my kindle for the epaper screen, or my phone for the ease of opening 100 tabs as I do deeper and deeper research. These tabs, and their children, may get closed over a month as I work my way through the content. The near universal software in this picture is the browser, and right now that is Chrome. There may be Adobe Acrobat or kindle software, but if I can use the browser, that is my preference. It frees me from caring about Microsoft vs Google vs Apple vs Amazon. Things not in a browser feel like a legacy at this point that are used because the web wasn't the universal constant it is becoming.

My research activities take place laying in bed. Sitting on hold on my browser accessed phone while reading on my phone at my desk where I was working. Really, whenever I have a down moment and an interesting topic.",,Multiple times a day,Migrate,Reading and Research,Really good example for migrate scenario 
P69,"Activity: Casual media consumption, web browsing and reading
What does it involve: Watching content and reading
What software is involved: Windows 10, Edge, Microsoft Movies & TV / Netflix / Amazon Prime / YouTube / Sky Go, Kobo Books, Microsoft To Do
Who is involved: Just me
How are you using the devices: Use of Samsung Galaxy S10+ (or Galaxy S8+) for consumption on-the-go. Bookmark content for immediate consumption into Microsoft To Do; bookmark content for later consumption into Microsoft OneNote. Use shared Cloud Clipboard to transfer URLs/content between phone and Surface Go. Use Surface Go for media consumption, reading of eBooks (on Kobo) and media consumption. Will use Microsoft Wireless Adapter or Xbox One X for pushing content from device to large TV screens.
How are they positioned physically in the space: Phones and Surface Go used anywhere - from home office to bedroom to living room. Content synced in cloud across OneNote, Microsoft To Do, Microsoft Sticky Notes and Win10 Cloud Clipboard to allow ease of transferring content from one device to another.",,Multiple times a day,Migrate,"Reading, Browse, Casual Media Consumption",Choose device based on location/mobility
P62,"I’m reading Twitter on my iPhone in my bedroom, and I want to be able to see a tweet on my Desktop tomorrow morning when I wake up.",,Multiple times a day,Migrate,Social Media,Transfer content between devices
P96,"Downloading exercise data from my smartwatch to my personal tablet.
My personal Surface Pro 6 and my Suntoo smartwatch.
Suntoo's Windows 10 driver and Movescount application.
I do this download.
The Suntoo smartwatch connects to the USB port.
Both devices are positioned on my workspace next to each other.",,Weekly,Migrate,Tracking - fitness ,Transfer data from device to device
P88,Before bed I usually stream video on my playstation using apps like Netflix and YouTube (probably should have mentioned this device earlier). I may pause the show on the aforementioned devices and resume watching on my iPad (and vice versa) which mainly resides in my bedroom.,,Multiple times a day,Migrate,Watch Videos,Switch places
P31,"Working in various places around the house, when I need to work and watch the kids. I take one laptop downstairs and use it for work or to RDP to the other computers in the office.",,Multiple times a day,Migrate,Work on Mobile,Need to take care of kids 
P12,"Transferring files from PC to laptop or vice versa, Window 10 nearby share feature",,Weekly,Migrate,,
P17,"Browsing, usually start on my iPhone or iPad but Browse on PC to my Surface to complete more complex orders (like takeout dinner)",,Daily,Migrate ,Browse and Complete Orders,
P78,"Frankly, I find that generally speaking, devices don't interoperate well.  So although I own a lot of devices, I am usually trying to do as much as possible using a single device at a time.

I have always wanted a much more seamless interaction of applications across my devices.  I've written blog entries about an application model I want, which I call personal application omnipresence.  But I won't link to that because it would identify me.

I want to run singular applications and connect to them from all of my devices concurrently.

In the disappointing real world, most cross-device applications are intermediated by proprietary cloud functionality, subject to the constraints and limited functionality imagined by the vendors.  For example, I can take photos on a camera and access them from my desktop via by my OneDrive account once the camera uploads the photo.  (I'd prefer that my phone just push the photo to my own file system.)

Theoretically, you can use state synchronization of things like bookmarks and browsing history, but this is error-prone and fragile.

An obvious multi-device use case I have is multi-player gaming or concurrent/collaborative work with my spouse.",,Daily,Migrate ,Camera and Accessing Photo,"Good participant, but not answer the question "
P36,"Family budget process and meeting
* Spouse creates an excel spreadsheet of monthly personal and business expenses vs budget.
* Gmail for personal use initial budget
* I review on my desktop with the big screen to try and identify risk areas/opportunity, set up discussion points for meeting together
* We meet together to go over the numbers, I bring my ipad to her desk with the spreadsheet open so I can see it, she has the spreadsheet on her office computer or laptop.
This is really awkward. She is at her desk and I am in a chair on the other side, trying to go through why certain numbers are high or low. My screen is small and she is in a comfy chair. 
SW: Gmail, Excel, OneDrive
",,Monthly,Migrate ,Discuss Budget Planning,again this participant is good 
P22,"Checking mails, messages etc. and replying them. I always check mails and messages first thing in the morning as my daily routine is decided by it. I use Outlook desktop on the laptop, Outlook app, WhatsApp and SMS Organiser on the phone for this activity.

I use outlook on the phone just to read mails. I reply and write mails mostly on my laptop. As for the messages, I only use phone. Phone is always with me in my pocket while laptop is placed on the table.",Screenshot_20200714-094950~2.png,Multiple times a day,"Migrate, Partition","Communication - Read to Write
Communication - Email and Communication - Chats",
P7,"Analyzing data and writing blog or social media posts.
Again, I have the HP desktop and the phone. The focus is on the desktop because I need the large monitors to do the work. The phone now becomes the primary tool for reading emails or news alerts. The phone is on the mousepad or desk.",,Multiple times a day,Parition ,Analysis and Social Media,
P14,"watching smart TV and using phone
watching v web searches / telephone calls with phone
samsung TV software v android/iOS
anybody
networked TV, wifi phone",,Daily,Parition ,Watch TV and Search/Phone Call,
P3,"Use Whatsapp on private phone while working
- Private phone is on right side next to the keyboard. 

Also used to listen music via bluetooth headphones while being in office
",,Daily,Parition ,"Work and Communication (chat)
Work and Music",
P90,"Activity
- Personal e-mail, web browsing
- Checking personal email and browsing the web (not for work)
- Google Chrome
- Just me
Config:
- Apple MacBook Pro with integrated display and 1 external monitor (the center monitor from the same setup described for work)
- Laptop screen is on the left side (in front of the unused left monitor for work), and the center monitor is used to extend the screen. All input from wireless keyboard and mouse (laptop keyboard/trackpad not used).",,Multiple times a day,Partition,Browse and Communication - Emails ,
P25,"DELL pc at work controls thee monitors for my use.. one monitor has email on, one runs powerpoints/photoshop demos and the other a system checker called Impero to monitor student work and screens (31pcs in the room). This pc also broadcasts the photoshop or pwerpoints to two 65'' 4k screen i the classroom. linked to office 365 so work can be prepared at home on my own Dell pc OR on the MS Surface GO.

second PC at work has a single 65'' 4K tv for classroom demo work and access to the viewer software Impero to watch students work on their PCs (24pcs in room, 10 imacs). Also monitors the iMacs i have for CAD designing work (imac only software).",thumbnail_processed.jpg,Multiple times a day,Partition,"Communication (emails), Content Sharing, Monitor Students",Interesting one?
P14,"work from home
PC based v telephone based communication
with persons connected through MS teams in work environment v phone for persons not connected to MS Teams in work environment (can be within or external to organisation)
using work PC for work email v phone for personal email
using phone for apps that are not available in work environment
MS Teams v phone
see uploaded photo for workstation, phone in pocket",,Multiple times a day,Partition,"Communication (teams) and Communication (no teams)
Work and Personal",Separate communication based on other sides' availability
P92,#NAME?,,Multiple times a day,Partition,Development and Email Triage,Interesting in email triage
P92,Teams call /chat on companion device such as Go2 or Ipad pro while coding on main machine.  Companion device is either under monitor or slightly to the right.,,Multiple times a day,Partition,Development and Meeting,Meeting is irrelevant?
P21,#NAME?,,Multiple times a day,Partition,Development and Play Music,
P31,"My main activity with my multiple devices is for work. I work as an IT consultant with multiple clients and use the devices to separate my work with the different clients so I can work simultaneously on multiple issues. I have two main laptops used for work, one is connected to a 24"" monitor, all on my desk. I'm the only one working on these devices. I use Windows 10 on all my laptops. The main software I use is Office 365, Skype, Slack, Microsoft Edge (Chromium), VPN software, RDP software, Windows Terminal, and a password manager.",,Multiple times a day,Partition,Different Work,
,,,,,,
